file_name,job_id,status,detected_unique_plates,detected_plate_count,raw_detection_count,processing_wait_ms,error
IMG_3111.mp4,11,COMPLETED,,0,0,16807,
IMG_3112.mp4,12,COMPLETED,CJ88ZML;CJ61REB,2,3,58216,
IMG_3113.mp4,13,COMPLETED,,0,0,4133,
IMG_3114.mp4,14,COMPLETED,CJ16CGO;CJ22XXX,2,5,35274,
IMG_3115.mp4,15,COMPLETED,BH25BIN;CJ75REA,2,3,43673,
IMG_3116.mp4,16,COMPLETED,CJ61REB,1,2,20755,
IMG_3117.mp4,17,COMPLETED,CJ74YHS;CJ06LUF;SM18ASM;CJ97EMC;CJ27HCT,5,12,74847,
IMG_3118.mp4,18,COMPLETED,CJ16VBS,1,6,18468,
IMG_3119 (2).mp4,19,COMPLETED,,0,0,22633,
IMG_3119.mp4,20,COMPLETED,,0,0,20577,
IMG_3120.mp4,21,COMPLETED,CJ94UCJ,1,1,14402,
IMG_3121.mp4,22,COMPLETED,,0,0,4099,
IMG_3122.mp4,23,COMPLETED,CJ28NWV,1,6,30916,
IMG_3123.mp4,24,COMPLETED,,0,0,33056,
